firm name,website,ticker,hq country,hq state,hq city,permno,score,pbid,firm name from pitchbook,website from pitchbook,company profile,investor profile,limited partner profile,service provider profile,unnamed: 14
THRYV HOLDINGS INC,thryv.com,THRY,USA,TX,DFW Airport,19996,Very High,11656-72,Thryv Holdings,www.thryv.com,Yes,Yes,No,No,true
TIDEWATER INC,tdw.com,TDW,USA,TX,Houston,50606,Very High,13341-25,Tidewater,www.tdw.com,Yes,Yes,No,No,true
TIER REIT INC,tierreit.com,TIER,USA,TX,Dallas,15586,Very High,61977-61,Tier REIT,www.tierreit.com,Yes,Yes,No,No,true
TIFFANY & CO,tiffany.com,TIF,USA,NY,New York,75100,Very High,41154-22,Tiffany,www.tiffany.com,Yes,Yes,No,No,true
TILE SHOP HOLDINGS INC,tileshop.com,TTS,USA,MN,Plymouth,13563,Very High,65209-69,The Tile Shop,www.tileshop.com,Yes,Yes,No,No,true
TILLY'S INC,tillys.com,TLYS,USA,CA,Irvine,13399,Very High,52498-09,World of Jeans & Tops,www.tillys.com,Yes,No,No,No,true
TIMBERLAND BANCORP INC,timberlandbank.com,TSBK,USA,WA,Hoquiam,85751,Very High,41311-45,Timberland Bancorp,www.timberlandbank.com,Yes,Yes,No,Yes,true
TIME INC,,TIME,USA,NY,New York,14637,Very High,63618-22,Time,www.time.com,Yes,Yes,No,No,false
TIME WARNER INC,warnermediagroup.com,TWX,USA,NY,New York,77418,Very High,11634-76,Warner Media,www.warnermedia.com,Yes,Yes,No,No,true
TIMKEN CO,timken.com,TKR,USA,OH,North Canton,14795,Very High,10773-82,The Timken Company,www.timken.com,Yes,Yes,No,No,true
TIMKENSTEEL CORP,timkensteel.com,TMST,USA,OH,Canton,14684,Very High,64237-60,TimkenSteel,www.timkensteel.com,Yes,Yes,No,No,true
TINTRI INC,tintri.com,TNTR,USA,CA,Mountain View,16806,Very High,51350-05,Tintri,www.tintri.com,Yes,No,No,No,true
TIPTREE INC,tiptreeinc.com,TIPT,USA,CT,Greenwich,92111,Very High,42091-84,Tiptree,www.tiptreeinc.com,Yes,Yes,No,Yes,true
TITAN INTERNATIONAL INC,titan-intl.com,TWI,USA,IL,West Chicago,79198,Very High,41931-73,Titan International,www.titan-intl.com,Yes,Yes,No,No,true
TITAN MACHINERY INC,titanmachinery.com,TITN,USA,ND,West Fargo,92471,Very High,41646-25,Titan Machinery,www.titanmachinery.com,Yes,Yes,No,Yes,true
TITAN PHARMACEUTICALS INC,titanpharm.com,TTNP,USA,CA,South San Francisco,82848,Very High,41319-01,Titan Pharmaceuticals,www.titanpharm.com,Yes,Yes,No,No,true
TIVITY HEALTH INC,tivityhealth.com,TVTY,USA,TN,Franklin,76788,Very High,11542-51,Tivity Health,www.tivityhealth.com,Yes,Yes,No,No,true
TIVO CORP,tivo.com,TIVO,USA,CA,San Jose,84624,Very High,11789-83,TiVo,www.tivo.com,Yes,Yes,No,No,true
TJX COS INC (THE),tjx.com,TJX,USA,MA,Framingham,40539,Very High,41279-05,TJX,www.tjx.com,Yes,Yes,No,No,true
TOAST INC,toasttab.com,TOST,USA,MA,Boston,21896,Very High,121295-62,Toast,www.pos.toasttab.com,Yes,Yes,No,No,true
TOLL BROTHERS INC,tollbrothers.com,TOL,USA,PA,Fort Washington,70228,Very High,41273-29,Toll Brothers,www.tollbrothers.com,Yes,Yes,Yes,No,true
